Mes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
1,0.0206,0.0017,0.0184,0.0716,0.0042,0.0059,0.0923,0.2745,0.2332,0.4462,0.0785,0.2018,0.3145,0.5015,0.5263,0.5123,0.4134,0.1182,0.0583,0.0431,0.0860,0.0803,0.2172,0.1327,0.5290,1.1152,0.2727,0.2025,0.0091,0.0306,0.0859,0.1722,0.2567,0.5984,0.4568,0.4491,0.7218,2.4070,0.6665,1.7646,2.3503,0.2540,0.0641,1.2189,6.6668,2.3113,2.4595,0.9008,0.2870,0.4937,0.4906,0.1179,0.3135,0.4014,0.1020,0.3829,0.0597,0.1120,0.9138,0.7078,1.0493,13.1643,2.4326,2.1367,5.0917,3.3690,4.3749,3.2556,2.6148,3.6748,1.3375,2.4299,1.3577,4.7754
2,0.0176,0.0007,0.0234,0.0464,0.0035,0.0048,0.1683,0.3105,0.3613,0.6181,0.0951,0.1664,0.2890,0.2500,0.2239,0.1544,0.1413,0.0482,0.0488,0.0203,0.0723,0.0470,0.1694,0.0933,0.3954,0.7566,0.1893,0.2471,0.0087,0.0298,0.0897,0.1181,0.2168,0.4810,0.3520,0.3392,0.5857,2.2602,0.4822,1.6756,1.7458,0.1758,0.0387,0.9134,4.6340,1.8267,1.8479,0.7248,0.2055,0.3890,0.3617,0.0720,0.1532,0.2538,0.0901,0.2680,0.0405,0.0710,0.6373,0.3204,0.9751,9.2363,1.7948,1.2849,4.1730,2.4332,3.1528,2.0677,1.5436,2.4010,0.6828,1.7303,0.3466,3.0498
3,0.0141,0.0003,0.0298,0.0202,0.0023,0.0029,0.0196,0.0814,0.0757,0.1260,0.1145,0.0286,0.0798,0.0768,0.0866,0.0534,0.0547,0.0185,0.0642,0.0100,0.0537,0.0340,0.1298,0.0599,0.3263,0.5294,0.1409,0.2563,0.0079,0.0263,0.0266,0.0995,0.1903,0.3923,0.2926,0.2893,0.4531,1.8551,0.3857,1.5846,1.1529,0.1533,0.0236,0.6891,2.3173,1.4353,1.6045,0.5683,0.1367,0.2866,0.2606,0.0435,0.1065,0.2022,0.0746,0.2028,0.0123,0.0645,0.4225,0.1690,1.0339,4.6740,1.5198,1.0626,3.3465,2.0853,2.6851,1.3286,1.1707,1.5546,0.5122,1.0855,0.3439,2.2539
5,0.0094,0.0001,0.0276,0.0159,0.0027,0.0046,0.0158,0.0226,0.0339,0.0830,0.2638,0.0103,0.0339,0.0403,0.0430,0.0225,0.0333,0.0063,0.0472,0.0050,0.0425,0.0302,0.1080,0.0384,0.2575,0.4772,0.1325,0.3015,0.0060,0.0231,0.0107,0.0860,0.1699,0.3977,0.2607,0.2540,0.3822,1.5457,0.3249,1.5763,0.7535,0.1418,0.0129,0.5270,1.8206,1.1261,1.9885,0.5506,0.2815,0.3440,0.2371,0.0581,0.0897,0.2416,0.0565,0.1599,0.0035,0.0836,0.3053,0.1225,0.8696,7.4384,1.7263,1.8692,4.9172,2.8099,3.7471,1.7882,1.4437,1.5380,0.4240,1.3580,1.1518,3.5417
6,0.0071,0.0000,0.0257,0.0252,0.0024,0.0056,0.0157,0.0153,0.0222,0.0646,0.3101,0.0072,0.0225,0.0283,0.0277,0.0124,0.0303,0.0044,0.0485,0.0038,0.0492,0.0430,0.1110,0.0417,0.2775,0.5680,0.2243,0.2719,0.0049,0.0200,0.0087,0.2528,0.1962,0.4873,0.3008,0.2925,0.4766,1.6753,0.4544,1.5007,0.6749,0.1361,0.0381,0.4753,1.4770,1.1258,4.3217,0.9795,0.4275,0.6889,0.4135,0.2583,0.2383,0.3919,0.2428,0.2560,0.0583,0.0904,0.4872,0.2238,0.9305,6.3794,2.6219,4.6683,5.3985,5.5532,6.6828,3.2128,2.8404,2.7966,1.0149,1.9369,1.9907,6.0181
6,0.0345,0.0061,0.0282,0.0916,0.0070,0.0081,0.0137,0.0710,0.0558,0.1045,0.2299,0.0140,0.0832,0.0658,0.0969,0.1703,0.1070,0.0642,0.0910,0.0370,0.3749,0.2437,0.3680,0.5577,1.1768,2.9857,1.1507,0.2236,0.0064,0.0357,0.0331,1.1681,0.6415,2.4795,2.2191,1.0307,2.3289,3.3821,2.8095,2.6562,1.7753,0.1674,0.3356,1.1614,3.9983,2.7237,8.4739,3.3529,1.9329,2.5207,1.4468,2.1036,0.7664,1.0032,1.1446,0.5795,0.3863,0.5268,2.9201,1.7914,1.3456,8.5072,4.0734,6.9402,7.9603,8.2871,11.5714,6.4834,5.6972,5.0006,1.7147,2.6298,2.8136,11.8666
7,0.1818,0.0644,0.0357,0.3966,0.0100,0.0105,0.0234,0.8368,0.7528,0.8105,0.1947,0.7156,1.2842,0.6919,0.9695,2.6042,1.4765,0.5749,0.4405,0.2155,0.9993,0.5948,1.1046,1.7528,2.0586,4.0324,1.2321,0.3360,0.0062,0.0708,0.3050,1.4020,1.3238,3.7220,3.4578,2.6130,4.3603,3.2725,4.0573,4.0966,5.2364,0.2264,0.7575,1.6843,4.9755,4.4783,8.2006,2.0170,1.1058,1.4299,1.1056,0.6092,0.6973,1.3572,0.2543,0.4761,0.2671,0.5276,5.1435,3.2939,0.9816,11.1345,3.7409,5.7372,7.9106,7.2934,11.5923,6.9047,6.1447,4.9551,1.8897,2.0804,3.4213,10.8620
8,0.3412,0.2539,0.0547,0.1933,0.0024,0.0152,0.0632,1.1983,1.3207,1.4558,0.1639,1.3217,2.1500,1.5120,1.8357,3.7597,2.2401,0.9352,0.5991,0.5073,1.1723,0.6326,1.5314,2.1913,3.0528,6.3671,1.8508,0.5561,0.0072,0.1132,0.7228,0.6106,1.0861,4.2010,4.1799,2.6829,5.0928,3.8396,4.1659,4.4913,10.4077,0.3072,1.1810,2.3485,7.1619,4.8184,10.5092,2.7359,1.4131,1.6882,1.0366,0.7640,0.7442,1.4433,0.5868,0.3608,0.3648,0.5374,5.2943,3.5705,1.2740,12.6374,5.1991,7.9282,8.7998,9.8757,13.3880,10.4012,8.9726,7.9037,3.3750,3.6412,3.4629,13.4845
9,0.4155,0.4569,0.0768,0.2771,0.0171,0.0207,0.0856,0.8469,1.2475,1.4516,0.2010,1.4231,2.0075,1.6283,1.9931,4.9088,2.5099,0.9533,0.5189,0.4453,1.3484,1.2482,2.0615,3.4865,5.9051,9.0248,2.5936,1.3236,0.0062,0.3090,0.7539,2.4571,2.0334,9.0786,8.3428,2.9937,7.7643,6.4242,6.7685,5.7592,12.6432,0.6002,2.0342,4.3400,13.1760,6.6168,14.9625,4.2233,2.9067,2.7718,1.8518,1.6278,1.3422,2.0325,3.9423,3.2805,1.2809,1.4348,4.6885,4.1148,2.2508,14.2602,8.2343,11.7087,8.8166,13.0799,18.8007,14.3190,12.8440,10.1984,5.7219,6.3466,3.7609,20.7128
10,0.1200,0.1249,0.0776,0.3026,0.0097,0.0273,0.0676,0.5096,0.4910,0.6060,0.2967,0.4892,0.8450,0.6331,0.8215,1.3051,0.8287,0.4255,0.2507,0.2038,0.5255,0.5144,1.2427,1.7359,3.2523,6.4647,1.5163,0.5269,0.0067,0.0781,0.1901,1.6123,1.3784,4.3111,4.1658,2.3811,4.1347,5.6908,3.5383,3.4886,7.3330,0.8590,0.6898,2.9566,14.3545,6.4771,12.2485,3.7679,2.6723,3.7730,2.3208,1.9422,1.5541,2.1160,3.6468,3.5707,1.6094,1.5675,5.3172,3.1877,2.1844,12.3736,8.9412,15.3487,9.3810,14.8462,21.4629,17.6870,16.4037,12.6947,7.7898,8.4744,6.0080,23.6811
