x,Latitud,Longitud,Area
4351130,27.986,-105.756,9405
4351150,27.142,-104.915,7395
4351200,29.57,-104.45,71964
4351410,27.842,-101.113,12825
4351420,27.425,-100.983,23086
4351900,25.9,-97.52,450902
4355300,25.954,-109.046,34247
4355310,27.017,-108.417,6439
4355340,25.9,-107.986,8179
4355350,26.171,-107.696,5281
4355400,24.925,-107.382,11409
4355410,25.333,-107.529,1018
4355450,24.933,-106.958,2241
4355500,24.485,-106.947,8919
4355700,23.956,-106.571,6166
4355950,22.983,-105.825,4653
4356050,22.483,-105.325,5092
4356080,21.967,-105.15,25800
4356100,21.825,-105.115,128943
4356110,22.568,-104.037,5796
4356200,20.908,-105.108,9329
4356280,18.942,-103.925,9744
4356300,18.8,-103.608,6835
4356510,18.161,-100.879,1391
4356600,16.929,-99.608,7067
4356650,16.704,-98.267,2514
4356700,16.275,-97.592,17617
4356800,16.425,-95.329,9364
4356810,16.6,-94.767,13164
4357110,29.733,-107.083,4154
4357520,25.25,-105.45,6842
4358120,23.942,-98.948,1329
4358300,21.983,-98.567,61063
4358510,21.167,-98.267,1269
4358520,21.034,-98.133,1493
4358550,20.932,-97.66,4341
4358600,20.547,-97.458,1600
4358800,20.062,-97.028,1467
4359050,19.362,-96.36,2234
4359220,18.17,-96.08,21419
4359500,17.438,-94.867,9224
4361100,18.18,-91.07,9628
4362110,16.7,-93.55,2551
4362120,16.95,-93.767,1958
4362130,17.283,-93.529,200
4362600,17.433,-91.483,47697
4363500,14.683,-92.133,1139
4568100,14.44,-87.97,836
4568150,14.74,-87.64,2639
4568200,14.67,-87.32,1573
4568710,14.59,-86.29,2240
4568720,14.68,-86.25,460
4769200,13.5,-85.95,5510.85
4769250,13.54,-85.83,6843.55
4771210,12.07,-86.53,206
4771800,11.38,-85.95,249
4772040,12.73,-86.12,728
4772050,12.83,-86.07,426
4772140,13.06,-85.74,300
4772210,12.78,-85.12,6500
4773050,12.95,-86.1,855
4873410,10.25,-84.17,73
4874210,9.93,-84.38,1638
4874730,8.97,-83.47,4767
4875140,9.87,-83.65,1337
4977010,8.533,-82.833,788
4977060,8.417,-82.35,1337
4977150,8.067,-81.633,1149
4977220,8.2,-81.25,745
4977310,8.217,-80.967,1370
4977350,7.867,-80.533,1000
4977410,8.433,-80.5,471
4977750,8.967,-78.283,726
4977800,8.42,-82.41,265
