Año,Mes,Cantidad de días del mes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
1969,1,31,0.0233,0.0022,0.0647,0.0716,0.0014,0.0010,0.0330,0.0673,0.1875,0.2296,0.1046,0.0520,0.5238,0.6489,0.8717,0.6838,0.7532,0.1679,0.0647,0.0376,0.0939,0.0998,0.2151,0.1267,0.6141,1.1152,0.1725,0.1547,0.0107,0.0319,0.0859,0.1279,0.2826,0.8735,0.7568,0.7700,1.2200,2.9815,1.1934,2.3187,2.0895,0.3701,0.0374,1.1844,9.5532,2.6684,2.6922,0.4368,0.3929,0.8257,1.3388,0.2121,0.2556,0.4014,0.1111,0.5569,0.0230,0.1120,0.8124,0.5859,1.2584,13.1643,2.4264,1.5950,3.6188,2.1752,2.3360,2.1568,1.6592,2.1092,1.0757,1.2470,1.3577,1.8299
1969,2,28,0.0180,0.0013,0.0979,0.0464,0.0011,0.0044,0.0290,0.4474,0.1478,0.1824,0.0723,0.0567,0.2359,0.1454,0.1824,0.1753,0.1560,0.0694,0.0638,0.0184,0.0716,0.0482,0.1786,0.0765,0.3880,0.6757,0.1218,0.1921,0.0089,0.0323,0.0897,0.0586,0.2111,0.5908,0.7631,0.4894,0.6842,2.2523,0.7178,1.7416,1.4109,0.2344,0.0208,0.7947,1.7181,1.6582,2.0533,0.2510,0.1929,0.6238,1.1144,0.1409,0.1472,0.2538,0.0700,0.3987,0.0000,0.0775,0.4798,0.2440,1.1908,8.1834,1.7934,1.0875,2.9726,2.1632,2.7114,1.6363,1.3676,1.7111,0.5755,1.3336,0.3466,2.0093
1969,3,31,0.0142,0.0007,0.0643,0.0165,0.0009,0.0033,0.0262,0.0657,0.0634,0.0753,0.0818,0.0202,0.1007,0.0765,0.0912,0.0757,0.0509,0.0263,0.0554,0.0106,0.0550,0.0343,0.1235,0.0608,0.3118,0.6523,0.1171,0.1921,0.0068,0.0250,0.0266,0.0601,0.1928,0.4854,0.5663,0.3903,0.5243,2.0015,0.6801,1.6453,1.1739,0.1789,0.0099,0.6542,0.7646,1.4809,2.1851,0.2067,0.1267,0.4908,0.9195,0.0909,0.0964,0.5856,0.0516,0.2859,0.0000,0.2997,0.3059,0.1403,1.1188,5.1783,1.5297,0.8156,2.3264,1.9220,2.5283,0.8399,0.7869,1.0062,0.3461,0.6855,0.3439,1.0764
1969,4,30,0.0099,0.0005,0.0412,0.0098,0.0008,0.0007,0.0261,0.0278,0.0301,0.0420,0.3626,0.0093,0.0452,0.0434,0.0519,0.0347,0.0286,0.0138,0.0476,0.0062,0.0499,0.0354,0.0983,0.0355,0.2661,1.0988,0.0876,0.1977,0.0054,0.0224,0.0107,0.0994,0.1889,0.6268,0.4200,0.3541,0.6839,1.9340,0.7011,1.6699,0.9487,0.1911,0.0071,0.5965,0.7055,1.4778,2.4340,0.1930,0.1353,0.3918,0.7907,0.0126,0.1117,1.3176,0.0377,0.1836,0.0000,0.5841,0.2137,0.0942,1.3279,6.9025,1.7934,2.1025,3.2311,1.8267,2.2433,1.1872,1.0068,1.0927,0.2749,0.8959,1.1518,1.7581
1969,5,31,0.0057,0.0002,0.0156,0.0116,0.0013,0.0023,0.0345,0.0153,0.0164,0.0316,0.2939,0.0051,0.0306,0.0359,0.0337,0.0241,0.0230,0.0085,0.0317,0.0032,0.0586,0.0437,0.0949,0.0258,0.2325,0.3200,0.1043,0.1907,0.0041,0.0200,0.0177,0.3273,0.2145,0.5778,0.7360,0.3434,0.3513,2.2237,0.6730,1.5961,0.5186,0.1962,0.0074,0.3745,0.5171,1.7858,3.5261,0.4334,0.5386,1.0897,0.5624,1.1876,0.2091,1.6438,0.0721,0.1204,0.0322,0.1063,0.4510,0.1460,1.3203,3.5507,2.1099,3.5524,3.6835,3.3407,4.6245,2.4721,2.1323,1.6403,0.8179,1.4673,1.9907,2.3681
1969,6,30,0.0065,0.0000,0.0289,0.0000,0.0005,0.0013,0.0421,0.0097,0.0111,0.0255,0.2870,0.0049,0.0247,0.0352,0.0395,0.0235,0.0287,0.0119,0.0453,0.0173,0.1043,0.0439,0.1559,0.0759,0.4685,1.5379,0.4160,0.1144,0.0062,0.0166,0.0655,0.1832,0.1283,0.1909,0.1745,0.1931,0.2485,1.3422,1.1496,1.8050,0.5469,0.1950,0.1746,0.6827,0.5841,4.3591,11.0583,3.9755,4.4984,5.0588,6.6356,14.6692,2.6193,2.2727,1.3346,0.4670,1.2514,1.6154,3.3998,2.4874,2.5342,7.1014,4.1143,5.7455,6.8500,6.0619,10.6832,8.6391,7.1451,6.8237,1.2726,5.6224,2.8136,9.6159
1969,7,31,0.2000,0.0000,0.0481,0.0026,0.0002,0.0015,0.0508,1.8279,0.6635,0.7938,0.4537,0.3775,1.5809,1.0928,0.9668,4.4620,1.7328,0.5414,0.2373,0.1508,0.5532,0.2864,0.6620,0.8860,1.4032,3.7539,0.7009,0.5766,0.0102,0.0701,0.2073,0.0782,0.7482,2.5836,1.9419,1.9327,4.1773,3.4687,5.2652,5.1716,5.3900,0.2730,1.0167,2.0697,3.3532,6.6842,9.5266,2.5904,2.2253,2.0713,3.2201,1.3755,1.4590,1.8692,0.2399,0.2127,0.2564,0.5417,3.8580,2.4832,1.5877,7.1014,3.5341,4.4405,5.2990,6.3031,16.9143,5.0744,5.0000,3.8706,0.8624,1.8546,3.4213,6.6020
1969,8,31,0.0514,0.0000,0.0168,0.0025,0.0001,0.0010,0.0458,0.6247,0.5106,0.4451,0.4797,0.3337,0.8654,0.4862,0.7694,4.1796,1.8288,0.5041,0.2372,0.0590,0.7549,0.3645,1.3863,4.4017,4.7838,12.3998,4.3631,3.1114,0.0073,0.0281,0.0573,0.6101,1.1647,4.5963,4.2688,1.6735,7.5131,7.8081,8.1694,9.8862,10.6212,0.3308,3.0156,5.3805,7.0796,7.1517,16.2285,3.5005,2.9181,2.4540,2.3889,5.1015,2.3484,2.9452,1.2893,0.4906,1.2810,1.7499,7.6789,4.2527,3.0694,10.6521,6.7516,9.7148,10.1457,9.7962,18.9671,11.5877,11.8521,13.4078,5.7254,5.7417,3.8263,18.8013
1969,9,30,0.0444,0.0000,0.0263,0.1182,0.0013,0.0024,0.0195,0.5150,0.5728,0.4252,0.4756,0.4517,1.0716,0.6563,1.0474,4.7267,2.1866,0.8535,0.3631,0.2233,1.2912,0.7139,2.0778,4.6427,7.0103,13.4406,3.4124,5.7575,0.0019,0.0473,0.1668,3.8845,4.3036,13.6514,14.8366,2.9352,14.5286,13.3613,11.2363,14.7199,21.1766,0.8421,2.2500,5.5212,18.2334,9.4612,18.6602,5.4775,6.0699,3.5830,3.6848,8.1141,2.5287,2.5439,1.6320,3.5035,1.4984,2.0215,4.8240,3.5344,2.8830,21.3041,8.2813,11.0741,10.6627,13.9592,23.6554,13.9048,13.4529,11.7729,8.1435,6.3386,5.8017,27.9867
1969,10,31,0.0245,0.0000,0.0225,0.1088,0.0010,0.0006,0.0112,0.0806,0.1600,0.1698,0.4125,0.2213,0.4276,0.5034,1.0138,3.8017,2.8761,0.9957,0.2040,0.1249,0.6715,0.2819,1.8757,0.9681,3.1065,9.3001,1.1959,1.0027,0.0091,0.0218,0.1413,2.2902,1.2576,2.8214,2.9837,1.8546,2.5747,5.7804,3.5168,3.3573,6.7810,1.0362,1.3626,3.0905,16.3637,6.0723,15.8850,4.6407,4.6300,5.6592,3.7439,3.1628,4.4298,4.3719,6.6935,13.7876,5.4062,4.7277,6.7090,5.0575,4.6638,10.6521,12.4484,20.4808,10.5981,14.9152,17.8650,15.3135,15.9470,12.1245,8.1079,10.1378,7.6188,20.9542
